country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,Continent
Mexico,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,North America
Colombia,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,Americas
Colombia,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,7.58,Americas
Costa Rica,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,Americas
Guatemala,7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,Americas
Taiwan,7.75,7.67,7.5,7.75,7.75,7.67,10,10,10,7.75,Asia
Brazil,7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,Americas
Taiwan,7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,Asia
Ethiopia,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,Africa
Brazil,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,Americas
Costa Rica,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,Americas
Guatemala,7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75,Americas
Brazil,7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,Americas
Ecuador,7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,7.67,Americas
Colombia,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,Americas
Guatemala,7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67,Americas
Mexico,7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,North America
Mexico,7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,7.83,North America
Brazil,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,Americas
Thailand,7.75,7.75,7.58,8,7.67,7.58,10,10,10,7.5,Asia
Thailand,7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,7.75,Asia
Ethiopia,7.58,7.83,7.58,8,7.83,7.5,10,10,10,7.5,Africa
Kenya,7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,7.83,Africa
Brazil,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,Americas
Colombia,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,Americas
Taiwan,7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,Asia
Colombia,7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,7.67,Americas
China,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,Asia
Colombia,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,Americas
Uganda,8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67,Africa
United States (Puerto Rico),7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75,North America
Colombia,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,Americas
Colombia,7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,Americas
Colombia,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,Americas
Colombia,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,Americas
United States (Hawaii),7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75,North America
Mexico,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,North America
Guatemala,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,Americas
Colombia,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,8.08,Americas
Colombia,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75,Americas
United States (Hawaii),7.83,7.67,7.75,7.67,7.58,7.5,10,10,10,7.75,North America
Brazil,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,Americas
Kenya,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,Africa
Honduras,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,Americas
Nicaragua,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,Americas
Brazil,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,Americas
Taiwan,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,Asia
Costa Rica,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,Americas
Thailand,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,Asia
Colombia,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,Americas
Guatemala,8,7.5,7.33,8,8,8,9.33,10,10,7.5,Americas
Colombia,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,Americas
Colombia,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,Americas
Guatemala,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,Americas
Guatemala,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,Americas
Colombia,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,Americas
Guatemala,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,Americas
Guatemala,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,Americas
Mexico,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,North America
Indonesia,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,Asia
Guatemala,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,Americas
United States (Hawaii),7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17,North America
Brazil,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,Americas
Guatemala,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,Americas
Colombia,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,Americas
China,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,Asia
Colombia,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,Americas
Mexico,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,North America
Ethiopia,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,Africa
Uganda,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,Africa
Colombia,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,Americas
Colombia,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,Americas
Colombia,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,Americas
Taiwan,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,Asia
Colombia,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,Americas
Mexico,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,North America
Colombia,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,Americas
Brazil,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,Americas
Colombia,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,Americas
Taiwan,7.58,7.58,7.17,7.17,7,7,10,10,10,10,Asia
Costa Rica,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,Americas
Colombia,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,Americas
Guatemala,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,Americas
Colombia,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,Americas
"Tanzania, United Republic Of",7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,Africa
Indonesia,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,Asia
Ethiopia,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,Africa
Colombia,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,Americas
Colombia,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,Americas
Guatemala,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,Americas
Colombia,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,Americas
Honduras,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,Americas
Colombia,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,Americas
Colombia,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,Americas
Mexico,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,North America
Mexico,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,North America
Mexico,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,North America
Guatemala,7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,Americas
Colombia,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,Americas
Guatemala,7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,Americas
United States (Hawaii),7.5,7.67,7.58,7.92,7.58,7.67,10,10,10,7.58,North America
Indonesia,7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,7.58,Asia
Colombia,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,Americas
Guatemala,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,Americas
Colombia,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,Americas
Costa Rica,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,Americas
Taiwan,7.67,7.67,7,7.08,7,7,10,10,10,10,Asia
Uganda,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,Africa
Thailand,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,Asia
El Salvador,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,Americas
Colombia,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,Americas
Brazil,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,Americas
"Tanzania, United Republic Of",7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,Africa
Colombia,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,Americas
Guatemala,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,Americas
Guatemala,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,Americas
Guatemala,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,Americas
United States (Hawaii),7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,North America
Colombia,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,Americas
Colombia,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,7.58,Americas
United States (Hawaii),7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,7.5,North America
Thailand,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,Asia
Mexico,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,North America
Colombia,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,Americas
Colombia,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,Americas
Colombia,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,Americas
Brazil,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,Americas
Mexico,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,North America
Colombia,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,Americas
"Tanzania, United Republic Of",7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,Africa
Mexico,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,North America
Costa Rica,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,Americas
United States (Hawaii),7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,North America
Costa Rica,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,Americas
Peru,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,Americas
Haiti,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,Americas
Colombia,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,Americas
Guatemala,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,Americas
United States (Hawaii),7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,North America
Burundi,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,Africa
Colombia,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,Americas
United States (Hawaii),8.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,North America
United States (Hawaii),7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,North America
Mexico,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,North America
Costa Rica,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,Americas
Costa Rica,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,Americas
Guatemala,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,Americas
Uganda,7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,Africa
Brazil,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,Americas
Colombia,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,Americas
Mexico,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,North America
Taiwan,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,Asia
Taiwan,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,Asia
Colombia,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,Americas
Guatemala,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,Americas
Colombia,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,Americas
Mexico,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,North America
United States (Hawaii),7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,7.67,North America
Mexico,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,North America
Mexico,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,North America
Guatemala,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,Americas
Brazil,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,Americas
Colombia,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,Americas
Colombia,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,Americas
Colombia,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,Americas
Colombia,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,Americas
Colombia,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,Americas
Brazil,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,Americas
Guatemala,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,Americas
"Tanzania, United Republic Of",7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,Africa
Peru,7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,7.5,Americas
Vietnam,7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,Asia
Guatemala,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,Americas
Honduras,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,Americas
China,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,Asia
China,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,Asia
El Salvador,7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,Americas
Guatemala,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,Americas
Guatemala,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,Americas
Kenya,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,Africa
Thailand,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,Asia
"Tanzania, United Republic Of",7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,Africa
Colombia,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,Americas
Uganda,8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,Africa
Colombia,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,Americas
Honduras,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,Americas
Honduras,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,Americas
Guatemala,7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,Americas
United States (Hawaii),7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,North America
"Tanzania, United Republic Of",7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,Africa
Guatemala,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,Americas
Mexico,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,North America
Mexico,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,North America
Mexico,7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,North America
Colombia,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,Americas
Mexico,7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,North America
Colombia,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,Americas
Mexico,7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,7.58,North America
Brazil,7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,Americas
Brazil,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,Americas
Guatemala,7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,Americas
Brazil,7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,Americas
Brazil,7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,7.42,Americas
El Salvador,7.42,7.83,8.17,8.08,7.17,7.58,10,9.33,10,7.58,Americas
Ethiopia,7.75,8,7.67,8.08,7.83,7.92,9.33,9.33,9.33,7.92,Africa
Colombia,7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,7.5,Americas
Colombia,7.75,7.5,7.5,7.42,8,7.75,10,10,10,7.17,Americas
Brazil,7.58,7.58,7.58,7.5,7.67,7.58,10,10,10,7.58,Americas
Brazil,7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,7.92,Americas
Taiwan,7.83,7.92,7.5,7.83,7.67,7.25,9.33,10,10,7.75,Asia
Brazil,7.42,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,Americas
Brazil,7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,7.67,Americas
Costa Rica,7.83,7.33,7.5,7.67,7.58,7.67,10,10,10,7.5,Americas
United States (Hawaii),7.33,7.75,7.58,7.33,7.83,7.67,10,10,10,7.58,North America
Taiwan,7.75,7.75,7.5,7.5,7.5,7.5,10,10,10,7.58,Asia
United States (Hawaii),7.83,7.83,7.33,7.17,7.75,7.67,10,10,10,7.5,North America
Mexico,7.75,7.67,7.42,7.75,7.5,7.5,10,10,10,7.5,North America
United States (Hawaii),7.67,7.58,7.5,7.67,7.92,8,9.33,9.33,10,8.08,North America
United States (Hawaii),7.33,7.58,7.58,7.92,7.67,7.58,10,10,10,7.42,North America
Colombia,7.33,7.33,7.33,7.58,7.25,8.08,10,10,10,8.17,Americas
Colombia,7.83,7.75,7.33,7.25,7.42,7.92,10,10,10,7.58,Americas
Indonesia,7.67,7.58,7.5,7.58,7.67,7.58,10,10,10,7.5,Asia
Guatemala,7.92,7.67,7.67,7.25,7.83,7.67,9.33,10,10,7.75,Americas
Brazil,7.58,7.5,7.5,7.75,7.67,7.5,10,10,10,7.5,Americas
Brazil,7.5,7.58,7.58,7.67,7.58,7.5,10,10,10,7.58,Americas
Brazil,7.5,7.67,7.58,7.67,7.58,7.42,10,10,10,7.58,Americas
Uganda,7.67,7.58,7.42,7.42,7.83,7.5,10,10,10,7.58,Africa
Uganda,7.67,7.67,7.5,7.58,7.42,7.5,10,10,10,7.67,Africa
Colombia,7.67,7.67,7.33,7.67,7.5,7.58,10,10,10,7.58,Americas
Vietnam,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10,10,8,Asia
Guatemala,7.67,7.75,7.33,7.92,7.42,7.5,10,10,10,7.42,Americas
Guatemala,7.75,7.67,7.33,7.75,7.5,7.42,10,10,10,7.58,Americas
Guatemala,7.83,7.67,7.25,7.67,7.75,7.5,10,10,10,7.33,Americas
Brazil,7.67,7.67,7.67,7.5,7.42,7.5,10,10,10,7.58,Americas
Taiwan,7.92,7.92,7.83,7.58,7.33,7.25,10,10,10,7.17,Asia
Uganda,7.83,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,Africa
United States (Puerto Rico),7.67,7.5,7.67,7.83,7.75,7.83,10,10,9.33,7.42,North America
Guatemala,7.67,7.67,7.42,7.83,7.5,7.5,10,10,10,7.42,Americas
Costa Rica,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7.67,Americas
Brazil,7.75,7.58,7.42,7.67,7.42,7.67,10,10,10,7.5,Americas
Colombia,7.75,7.42,7.33,7.5,7.58,7.17,10,10,10,8.25,Americas
Colombia,7.83,7.5,7.58,7.33,7.5,7.67,10,10,10,7.58,Americas
Colombia,7.33,7.67,7.75,7.42,7.75,7.58,10,10,10,7.5,Americas
Colombia,7.58,7.75,7.42,7.67,7.58,7.42,10,10,10,7.58,Americas
Colombia,7.5,7.5,7.42,7.58,7.75,7.58,10,10,10,7.67,Americas
Mexico,7.67,7.58,7.42,7.5,7.67,7.58,10,10,10,7.58,North America
Mexico,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10,10,7.83,North America
Mexico,7.5,7.67,7.5,7.5,7.58,7.58,10,10,10,7.67,North America
Colombia,7.67,7.58,7.5,7.5,7.75,7.5,10,10,10,7.5,Americas
Colombia,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,10,7.58,Americas
Colombia,7.67,7.58,7.58,7.58,7.67,7.42,10,10,10,7.5,Americas
Guatemala,7.5,7.67,7.5,7.67,7.5,7.83,10,10,10,7.33,Americas
Colombia,7.67,7.67,7.58,7.5,7.67,7.42,10,10,10,7.5,Americas
Thailand,7.33,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,Asia
Colombia,7.33,7.67,7.58,7.33,7.58,7.92,10,10,10,7.58,Americas
United States (Hawaii),7.83,7.83,7.67,7.83,7.92,7.83,9.33,9.33,9.33,8.08,North America
United States (Hawaii),7.5,7.58,7.42,7.58,7.58,7.67,10,10,10,7.67,North America
Colombia,7.5,7.58,7.67,7.67,7.58,7.58,10,10,10,7.42,Americas
Nicaragua,7.58,7.83,7.75,7.92,7.92,8.08,9.33,9.33,9.33,7.92,Americas
Thailand,7.5,7.25,7.42,7.75,8.17,7.5,10,10,10,7.42,Asia
Brazil,7.67,7.58,7.5,7.58,7.58,7.5,10,10,10,7.5,Americas
El Salvador,7.5,7.5,7.75,7.58,7.92,7.83,10,10,9.33,7.5,Americas
Colombia,7.58,7.67,7.5,7.33,7.67,7.58,10,10,10,7.58,Americas
Taiwan,7.17,7.83,7.25,7.67,7.67,7.58,10,10,10,7.75,Asia
Ethiopia,7.58,7.58,7.5,7.5,7.58,7.58,10,10,10,7.58,Africa
